objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,sunset.JPG,,,Lagunalake view1,laarni,2019-03-23,Laguna Lake View,Laguna lake; sunset,"Tanay, Rizal",14.49532,121.275199,Personal Collection,lvmphotos_01,Image;StillImage,image/jpeg,eng,Public domain,
coll002,morning.JPG,,,Lagunalake view2,laarni,2019-03-23,Laguna Lake View,Laguna lake,"Tanay, Rizal",14.49532,121.275199,Personal Collection,lvmphotos_02,Image;StillImage,image/jpeg,eng,Public domain,
coll003,bird.JPG,,,Lagunalake view3,laarni,2019-03-23,Laguna Lake View,Laguna lake; birds,"Tanay, Rizal",14.49532,121.275199,Personal Collection,lvmphotos_03,Image;StillImage,image/jpeg,eng,Public domain,
coll004,dike.JPG,,,Lagunalake view4,laarni,2019-03-23,Laguna Lake View,Laguna lake; dike,"Tanay, Rizal",14.49532,121.275199,Personal Collection,lvmphotos_04,Image;StillImage,image/jpeg,eng,Public domain,
coll005,farm.JPG,,,Lagunalake view5,laarni,2019-03-23,Laguna Lake View,Laguna lake; fish pens,"Tanay, Rizal",14.49532,121.275199,Personal Collection,lvmphotos_05,Image;StillImage,image/jpeg,eng,Public domain,
coll006,lake.JPG,,,Lagunalake view6,laarni,2019-03-23,Laguna Lake View,Laguna lake; sunset,"Tanay, Rizal",14.49532,121.275199,Personal Collection,lvmphotos_06,Image;StillImage,image/jpeg,eng,Public domain,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
